spend_log_sd,seed,channel,metric,value
0.15,9,video,relative_bias,0.6787040255
0.15,9,video,covered,1
0.15,9,search,relative_bias,-1
0.15,9,search,covered,1
0.15,9,social,relative_bias,-0.5956763337
0.15,9,social,covered,1
0.15,9,ooh,relative_bias,16.60348839
0.15,9,ooh,covered,0
0.15,9,all,median_abs_relative_bias,0.6787040255
0.15,9,all,spearman,-0.1
0.15,9,all,regret,3.347798527
0.15,9,all,beats_status_quo,0
0.15,9,all,achievable_lift_share,0.01172252094
0.15,9,all,shortfall_from_optimum_share,0.03924463835
0.15,9,all,loss_vs_status_quo_share,0.0275221174
0.15,9,all,n_agreeing,3
0.15,10,tv,relative_bias,0.6347982007
0.15,10,tv,covered,0
0.15,10,video,relative_bias,-0.7507704851
0.15,10,video,covered,0
0.15,10,search,relative_bias,-0.1191615117
0.15,10,search,covered,1
0.15,10,social,relative_bias,0.5054389948
0.15,10,social,covered,1
0.15,10,ooh,relative_bias,3.899335663
0.15,10,ooh,covered,0
0.15,10,all,median_abs_relative_bias,0.6347982007
0.15,10,all,spearman,0
0.15,10,all,regret,2.682691734
0.15,10,all,beats_status_quo,0
0.15,10,all,achievable_lift_share,0.01193102264
0.15,10,all,shortfall_from_optimum_share,0.03200725582
0.15,10,all,loss_vs_status_quo_share,0.02007623317
0.15,10,all,n_agreeing,3
0.15,11,tv,relative_bias,-0.7676005554
0.15,11,tv,covered,0
0.15,11,video,relative_bias,-0.7553392068
0.15,11,video,covered,0
0.15,11,search,relative_bias,-0.549484935
0.15,11,search,covered,0
0.15,11,social,relative_bias,-0.4695827384
0.15,11,social,covered,0
0.15,11,ooh,relative_bias,-0.2743847466
0.15,11,ooh,covered,1
0.15,11,all,median_abs_relative_bias,0.549484935
0.15,11,all,spearman,0.7
0.15,11,all,regret,2.82800585
0.15,11,all,beats_status_quo,0
0.15,11,all,achievable_lift_share,0.01178394726
0.15,11,all,shortfall_from_optimum_share,0.03332507179
0.15,11,all,loss_vs_status_quo_share,0.02154112453
0.15,11,all,n_agreeing,3
0.15,12,tv,relative_bias,0.07592146763
0.15,12,tv,covered,1
0.15,12,video,relative_bias,1.503640008
0.15,12,video,covered,0
0.15,12,search,relative_bias,0.3857972429
0.15,12,search,covered,1
0.15,12,social,relative_bias,-0.7857487133
0.15,12,social,covered,0
0.15,12,ooh,relative_bias,4.600805556
0.15,12,ooh,covered,0
0.15,12,all,median_abs_relative_bias,0.7857487133
0.15,12,all,spearman,0.8
0.15,12,all,regret,3.476836594
0.15,12,all,beats_status_quo,0
0.15,12,all,achievable_lift_share,0.01165251414
0.15,12,all,shortfall_from_optimum_share,0.04051388759
0.15,12,all,loss_vs_status_quo_share,0.02886137344
0.15,12,all,n_agreeing,3
0.15,13,tv,relative_bias,1.587414597
0.15,13,tv,covered,0
0.15,13,video,relative_bias,2.12946184
0.15,13,video,covered,0
0.15,13,search,relative_bias,-0.649659028
0.15,13,search,covered,0
0.15,13,social,relative_bias,-0.9002161433
0.15,13,social,covered,1
0.15,13,ooh,relative_bias,3.6284385
0.15,13,ooh,covered,0
0.15,13,all,median_abs_relative_bias,1.587414597
0.15,13,all,spearman,0.7
0.15,13,all,regret,3.652077096
0.15,13,all,beats_status_quo,0
0.15,13,all,achievable_lift_share,0.01159406481
0.15,13,all,shortfall_from_optimum_share,0.04234241853
0.15,13,all,loss_vs_status_quo_share,0.03074835372
0.15,13,all,n_agreeing,3
0.15,14,tv,relative_bias,-0.2666490924
0.15,14,tv,covered,0
0.15,14,video,relative_bias,0.5789847748
0.15,14,video,covered,1
0.15,14,search,relative_bias,-0.4296308346
0.15,14,search,covered,1
0.15,14,social,relative_bias,0.3850857642
0.15,14,social,covered,1
0.15,14,ooh,relative_bias,0.6547453994
0.15,14,ooh,covered,1
0.15,14,all,median_abs_relative_bias,0.4296308346
0.15,14,all,spearman,0.8
0.15,14,all,regret,2.764003239
0.15,14,all,beats_status_quo,0
0.15,14,all,achievable_lift_share,0.01130606748
0.15,14,all,shortfall_from_optimum_share,0.03125000713
0.15,14,all,loss_vs_status_quo_share,0.01994393965
0.15,14,all,n_agreeing,3
0.15,15,tv,relative_bias,0.4059762425
0.15,15,tv,covered,1
0.15,15,video,relative_bias,-0.712120042
0.15,15,video,covered,0
0.15,15,search,relative_bias,0.4990712083
0.15,15,search,covered,1
0.15,15,social,relative_bias,1.271804855
0.15,15,social,covered,1
0.15,15,ooh,relative_bias,4.551642061
0.15,15,ooh,covered,0
0.15,15,all,median_abs_relative_bias,0.712120042
0.15,15,all,spearman,0.3
0.15,15,all,regret,3.050943592
0.15,15,all,beats_status_quo,0
0.15,15,all,achievable_lift_share,0.01203016736
0.15,15,all,shortfall_from_optimum_share,0.03670336203
0.15,15,all,loss_vs_status_quo_share,0.02467319466
0.15,15,all,n_agreeing,3
0.15,16,tv,relative_bias,0.5097263975
0.15,16,tv,covered,1
0.15,16,video,relative_bias,-1
0.15,16,video,covered,1
0.15,16,search,relative_bias,1.654248892
0.15,16,search,covered,1
0.15,16,social,relative_bias,-0.2736479186
0.15,16,social,covered,1
0.15,16,ooh,relative_bias,1.750520518
0.15,16,ooh,covered,1
0.15,16,all,median_abs_relative_bias,1
0.15,16,all,spearman,0.3
0.15,16,all,regret,2.66178439
0.15,16,all,beats_status_quo,0
0.15,16,all,achievable_lift_share,0.01146467899
0.15,16,all,shortfall_from_optimum_share,0.03051650358
0.15,16,all,loss_vs_status_quo_share,0.01905182459
0.15,16,all,n_agreeing,3
0.15,17,tv,relative_bias,-0.4904366739
0.15,17,tv,covered,0
0.15,17,video,relative_bias,-0.4113551939
0.15,17,video,covered,0
0.15,17,search,relative_bias,-0.8761681754
0.15,17,search,covered,0
0.15,17,social,relative_bias,0.6374504472
0.15,17,social,covered,1
0.15,17,ooh,relative_bias,-0.3002070278
0.15,17,ooh,covered,1
0.15,17,all,median_abs_relative_bias,0.4904366739
0.15,17,all,spearman,0.2
0.15,17,all,regret,2.875478494
0.15,17,all,beats_status_quo,0
0.15,17,all,achievable_lift_share,0.01186753441
0.15,17,all,shortfall_from_optimum_share,0.03412483996
0.15,17,all,loss_vs_status_quo_share,0.02225730555
0.15,17,all,n_agreeing,3
0.15,18,tv,relative_bias,1.464026278
0.15,18,tv,covered,0
0.15,18,video,relative_bias,0.03042522568
0.15,18,video,covered,1
0.15,18,search,relative_bias,-0.6722698824
0.15,18,search,covered,0
0.15,18,social,relative_bias,-0.08410441673
0.15,18,social,covered,1
0.15,18,ooh,relative_bias,-0.6785248895
0.15,18,ooh,covered,0
0.15,18,all,median_abs_relative_bias,0.6722698824
0.15,18,all,spearman,0.9
0.15,18,all,regret,0.4706965224
0.15,18,all,beats_status_quo,1
0.15,18,all,achievable_lift_share,0.01181655672
0.15,18,all,shortfall_from_optimum_share,0.005562012152
0.15,18,all,loss_vs_status_quo_share,-0.006254544563
0.15,18,all,n_agreeing,3
0.15,19,tv,relative_bias,-0.4022466211
0.15,19,tv,covered,0
0.15,19,video,relative_bias,0.7107836131
0.15,19,video,covered,0
0.15,19,search,relative_bias,0.2969650795
0.15,19,search,covered,1
0.15,19,social,relative_bias,-0.7735217344
0.15,19,social,covered,0
0.15,19,ooh,relative_bias,2.76333258
0.15,19,ooh,covered,1
0.15,19,all,median_abs_relative_bias,0.7107836131
0.15,19,all,spearman,0.6
0.15,19,all,regret,2.771941832
0.15,19,all,beats_status_quo,0
0.15,19,all,achievable_lift_share,0.01180116115
0.15,19,all,shortfall_from_optimum_share,0.03271213226
0.15,19,all,loss_vs_status_quo_share,0.02091097111
0.15,19,all,n_agreeing,3
0.15,20,tv,relative_bias,-0.3661221362
0.15,20,tv,covered,0
0.15,20,video,relative_bias,-0.7611834169
0.15,20,video,covered,0
0.15,20,search,relative_bias,-0.3431905011
0.15,20,search,covered,1
0.15,20,social,relative_bias,1.616746435
0.15,20,social,covered,1
0.15,20,ooh,relative_bias,-0.05392474403
0.15,20,ooh,covered,1
0.15,20,all,median_abs_relative_bias,0.3661221362
0.15,20,all,spearman,0.3
0.15,20,all,regret,2.201978617
0.15,20,all,beats_status_quo,0
0.15,20,all,achievable_lift_share,0.01218459374
0.15,20,all,shortfall_from_optimum_share,0.02683021486
0.15,20,all,loss_vs_status_quo_share,0.01464562112
0.15,20,all,n_agreeing,3
0.15,21,tv,relative_bias,-0.09823692654
0.15,21,tv,covered,1
0.15,21,video,relative_bias,-0.4600644911
0.15,21,video,covered,0
0.15,21,search,relative_bias,-0.6854630797
0.15,21,search,covered,0
0.15,21,social,relative_bias,1.441414573
0.15,21,social,covered,1
0.15,21,ooh,relative_bias,1.705224514
0.15,21,ooh,covered,1
0.15,21,all,median_abs_relative_bias,0.6854630797
0.15,21,all,spearman,0.5
0.15,21,all,regret,2.095032383
0.15,21,all,beats_status_quo,0
0.15,21,all,achievable_lift_share,0.01159933255
0.15,21,all,shortfall_from_optimum_share,0.02430097731
0.15,21,all,loss_vs_status_quo_share,0.01270164476
0.15,21,all,n_agreeing,3
0.15,22,tv,relative_bias,3.3008155
0.15,22,tv,covered,0
0.15,22,video,relative_bias,-0.4184251563
