arm,seed,median_abs_relative_bias,spearman,regret,beats_status_quo
baseline,110,0.8135425513,0.7,2.534718777,0
baseline,111,0.4806001914,0.7,3.186192376,0
baseline,112,0.2979668763,0.8,0.8196889571,1
baseline,113,0.4763011229,0.3,1.649730953,0
baseline,114,0.6366278502,0.1,2.722909601,0
baseline,115,1.606068544,0.7,1.309351298,0
baseline,116,0.4062454027,0.9,1.203894197,0
baseline,117,0.190662939,0.7,1.695831458,0
baseline,118,0.6724672769,0.5,2.491590642,0
baseline,119,0.7002613502,0.7,2.864917496,0
baseline,120,0.4279207037,0.6,3.1172296,0
baseline,121,0.8162585532,0.7,1.704175254,0
baseline,122,0.8194277604,0.5,3.178358195,0
baseline,123,0.9321749685,0.8,1.497379145,0
baseline,124,0.7374079001,0.1,7.143096796,0
baseline,125,0.6058030271,0.9,2.668941293,0
baseline,126,0.6440576816,0.3,3.057972068,0
baseline,127,0.8569247998,0.5,2.284009265,0
baseline,128,0.6592497251,0.6,1.2740837,0
baseline,129,0.4001362666,0.7,1.425596554,0
baseline,130,0.502016282,0.6,2.689191777,0
baseline,131,0.8293448473,0.7,1.14208058,0
baseline,132,0.7684837788,0.5,3.159412519,0
baseline,133,0.2010316806,0.9,0.6160988161,1
baseline,134,0.5262598766,0.5,2.474424442,0
baseline,135,0.613767883,0.5,2.113112706,0
baseline,136,0.3350995408,0.8,1.504826867,0
baseline,137,0.4268445728,-0.3,4.002157037,0
baseline,138,0.7954571742,0.3,5.448568525,0
baseline,139,0.5407998228,0,5.812909369,0
baseline,140,0.4812951542,0.9,0.8732679851,1
baseline,141,0.7006286183,0.3,3.999722348,0
baseline,142,0.56393302,-0.6,5.273604777,0
baseline,143,0.5533581546,0.7,4.540026743,0
baseline,144,0.6091359078,1,1.100355978,0
baseline,145,1.261224678,0.9,0.1071769652,1
baseline,146,0.661579448,0.5,5.53384214,0
baseline,147,0.5022199676,0.4,1.17261177,0
baseline,148,0.2868868577,1,0.7742706781,1
baseline,149,0.491299788,1,0.8869916489,1
baseline,150,0.7429063513,0.1,2.318926495,0
baseline,151,1.875619528,0.3,0.6756310513,1
baseline,152,0.6389479168,0.3,5.577711611,0
baseline,153,0.7536104739,0.2,9.375316298,0
baseline,154,0.5667684897,0.7,4.016479832,0
baseline,155,1,0.8207826817,3.214055571,0
baseline,156,0.7046825533,0.7,2.483745423,0
baseline,157,0.4930247051,0.8,3.864960534,0
