series,hill_shape,half_saturation_ratio,half_saturation,cv_rmse,tv_contribution,relative_bias
noisy,0.7,0.7778831392,42.55983514,31.02706203,139486.892,1.683007136
noisy,0.7,0.8421648612,46.07684091,31.02287318,135658.8,1.609374425
noisy,0.7,0.9117586147,49.88448055,31.01886723,132028.6183,1.539548484
noisy,0.7,0.9871033687,54.00677109,31.01504539,128586.0653,1.47333155
noisy,0.7,1.068674367,58.46971426,31.01117816,125321.4116,1.410536481
noisy,0.7,1.156986126,63.30146048,31.00708815,122225.4483,1.350986141
noisy,0.7,1.252595681,68.53248642,31.00318104,119289.4571,1.29451284
noisy,0.7,1.356106097,74.19578726,30.99945601,116505.1831,1.240957793
noisy,0.7,1.468170276,80.32708479,30.9959115,113864.8081,1.190170619
noisy,0.7,1.589495072,86.96505272,30.99254525,111360.9261,1.142008867
noisy,0.7,1.720845753,94.15156064,30.98935437,108986.5204,1.096337569
noisy,0.7,1.863050826,101.9319381,30.98633536,106734.9415,1.053028824
noisy,0.7,2.017007261,110.3552605,30.98348423,104599.887,1.011961405
noisy,0.7,2.183686153,119.4746588,30.9807965,102575.3819,0.9730203872
noisy,0.7,2.364138845,129.3476544,30.97826733,100655.7612,0.9360968026
noisy,0.7,2.559503557,140.0365221,30.97589149,98835.65245,0.901087314
noisy,0.7,2.771012572,151.6086829,30.97366352,97109.96003,0.8678939079
noisy,0.7,3,164.1371293,30.9715777,95473.85013,0.8364236063
noisy,0.8,0.3,16.41371293,31.11179379,194100.1977,2.733484976
noisy,0.8,0.3247910202,17.77008856,31.10345955,186112.0757,2.57983478
noisy,0.8,0.3516306893,19.23855064,31.09528151,178594.0893,2.435227564
noisy,0.8,0.380688301,20.82836163,31.08728111,171517.8454,2.29911719
noisy,0.8,0.4121471388,22.5495494,31.07947856,164856.7417,2.17099197
noisy,0.8,0.4462056322,24.41297052,31.07189266,158585.852,2.050372451
noisy,0.8,0.4830786083,26.43037866,31.06454064,152681.8179,1.936809339
noisy,0.8,0.5229986467,28.61449883,31.05743799,147122.7469,1.829881535
noisy,0.8,0.5662175466,30.97910756,31.05059836,141888.1171,1.729194301
noisy,0.8,0.6130079154,33.53911982,31.04403345,136958.6871,1.634377536
noisy,0.8,0.6636648873,36.31068314,31.03775298,132316.4123,1.545084154
noisy,0.8,0.718507986,39.3112794,31.03176462,127944.3662,1.460988575
noisy,0.8,0.7778831392,42.55983514,31.02607401,123826.6665,1.381785307
noisy,0.8,0.8421648612,46.07684091,31.02068477,119948.4065,1.307187621
noisy,0.8,0.9117586147,49.88448055,31.01559857,116295.5906,1.236926316
noisy,0.8,0.9871033687,54.00677109,31.01065735,112855.0747,1.170748567
noisy,0.8,1.068674367,58.46971426,31.00534779,109614.5104,1.108416851
noisy,0.8,1.156986126,63.30146048,31.00033436,106562.2924,1.049707947
noisy,0.8,1.252595681,68.53248642,30.99561415,103687.5109,0.9944120041
noisy,0.8,1.356106097,74.19578726,30.99118277,100979.9062,0.9423316776
noisy,0.8,1.468170276,80.32708479,30.98703449,98429.82666,0.8932813226
noisy,0.8,1.589495072,86.96505272,30.98316235,96028.19024,0.847086246
noisy,0.8,1.720845753,94.15156064,30.97955832,93766.44804,0.8035820115
noisy,0.8,1.863050826,101.9319381,30.97621345,91636.55078,0.7626137924
noisy,0.8,2.017007261,110.3552605,30.973118,89630.91754,0.7240357712
noisy,0.8,2.183686153,119.4746588,30.97026162,87742.40671,0.6877105799
noisy,0.8,2.364138845,129.3476544,30.96763341,85964.28892,0.6535087803
noisy,0.8,2.559503557,140.0365221,30.96522217,84290.2219,0.62130838
noisy,0.8,2.771012572,151.6086829,30.9630164,82714.22706,0.5909943816
noisy,0.8,3,164.1371293,30.96100453,81230.6676,0.5624583625
noisy,0.9,0.3,16.41371293,31.13867161,186412.7035,2.585617305
noisy,0.9,0.3247910202,17.77008856,31.1273465,177644.6317,2.416964905
noisy,0.9,0.3516306893,19.23855064,31.11625504,169448.9599,2.259322522
noisy,0.9,0.380688301,20.82836163,31.10543483,161787.1095,2.111948106
noisy,0.9,0.4121471388,22.5495494,31.09492116,154623.2466,1.974152395
noisy,0.9,0.4462056322,24.41297052,31.08474658,147924.0816,1.845295074
noisy,0.9,0.4830786083,26.43037866,31.07494055,141658.6832,1.724781179
noisy,0.9,0.5229986467,28.61449883,31.06552913,135798.3034,1.612057749
noisy,0.9,0.5662175466,30.97910756,31.05653469,130316.2157,1.506610706
noisy,0.9,0.6130079154,33.53911982,31.04797582,125187.5643,1.40796195
noisy,0.9,0.6636648873,36.31068314,31.03986716,120389.2236,1.315666666
noisy,0.9,0.718507986,39.3112794,31.0322194,115899.6686,1.229310822
noisy,0.9,0.7778831392,42.55983514,31.02503933,111698.8544,1.148508861
noisy,0.9,0.8421648612,46.07684091,31.0183299,107768.1056,1.072901563
